money,deposit,NN,7.73,,8.806976
money,dollar,NN,8.42,,9.793709
money,operation,NN,3.31,,7.1249304
money,possession,NN,7.29,,8.188298
money,property,NN,7.57,,8.760431
money,wealth,NN,8.27,,8.711274
money,withdrawal,NN,6.88,,6.8515944
monk,oracle,NN,5,,7.038328
monk,slave,NN,0.92,,6.025534
month,hotel,NN,1.81,,7.328257
morality,importance,NN,3.31,,7.815114
morality,marriage,NN,3.69,,8.334113
movie,critic,NN,6.73,,4.3982816
movie,popcorn,NN,6.19,,9.441775
movie,star,NN,7.38,,8.614415
movie,theater,NN,7.92,,9.877785
murder,manslaughter,NN,8.53,,10.839976
museum,theater,NN,7.19,,9.152502
music,project,NN,3.63,,4.378472
nature,environment,NN,8.31,,8.829943
nature,man,NN,6.25,,8.450083
network,hardware,NN,8.31,,10.191041
news,report,NN,8.16,,8.619993
noon,string,NN,0.54,,5.7418027
observation,architecture,NN,4.38,,6.511499
oil,stock,NN,6.34,,8.257447
opera,industry,NN,2.63,,6.335682
opera,performance,NN,6.88,,10.574944
peace,atmosphere,NN,3.69,,7.4256525
peace,insurance,NN,2.94,,6.368216
peace,plan,NN,4.75,,7.179049
phone,equipment,NN,7.13,,8.9083395
physics,chemistry,NN,7.35,,12.733246
physics,proton,NN,8.12,,9.286957
plane,car,NN,5.77,,7.9537992
planet,astronomer,NN,7.94,,11.316123
planet,constellation,NN,8.06,,10.697928
planet,galaxy,NN,8.11,,10.378882
planet,moon,NN,8.08,,10.413402
planet,people,NN,5.75,,6.7653885
planet,space,NN,7.92,,9.745474
planet,star,NN,8.45,,10.628342
planet,sun,NN,8.02,,10.602634
population,development,NN,3.75,,8.757692
possibility,girl,NN,1.94,,6.679307
practice,institution,NN,3.19,,8.517199
precedent,collection,NN,2.5,,7.386266
precedent,example,NN,5.85,,8.9776125
precedent,group,NN,1.77,,5.031822
precedent,information,NN,3.85,,6.0918465
precedent,law,NN,6.65,,9.365501
prejudice,recognition,NN,3,,7.4804473
preservation,world,NN,6.19,,6.94206
president,medal,NN,3,,8.088389
problem,airport,NN,2.38,,6.2646246
problem,challenge,NN,6.75,,7.6947
professor,doctor,NN,6.62,,8.184616
profit,loss,NN,7.63,,9.3837595
profit,warning,NN,3.88,,6.649963
psychology,clinic,NN,6.58,,8.429467
psychology,depression,NN,7.42,,6.9591084
psychology,discipline,NN,5.58,,8.187557
psychology,doctor,NN,6.42,,6.3950586
psychology,fear,NN,6.85,,6.839716
psychology,health,NN,7.23,,6.671238
psychology,mind,NN,7.69,,8.639609
psychology,psychiatry,NN,8.08,,11.509672
psychology,science,NN,6.71,,10.512405
reason,criterion,NN,5.91,,8.056996
record,number,NN,6.31,,8.225478
registration,arrangement,NN,6,,7.34057
report,gain,NN,3.63,,6.813564
rock,jazz,NN,7.59,,3.860563
rooster,voyage,NN,0.62,,4.9189973
school,center,NN,3.44,,7.6021876
secretary,senate,NN,5.06,,7.989788
seven,series,NN,3.56,,6.6447973
shore,woodland,NN,3.08,,8.0058155
shower,flood,NN,6.03,,8.577026
shower,thunderstorm,NN,6.31,,9.080224
sign,recess,NN,2.38,,6.9497313
situation,conclusion,NN,4.81,,7.624589
situation,isolation,NN,3.88,,7.4404664
size,prominence,NN,5.31,,7.9183645
skin,eye,NN,6.22,,8.544769
smart,stupid,JJ,5.81,,8.106405
soap,opera,NN,7.94,,7.120096
space,chemistry,NN,4.88,,6.860755
space,world,NN,6.53,,8.017747
start,match,NN,4.47,,7.2796454
start,year,NN,4.06,,6.5475464
stock,egg,NN,1.81,,8.569252
stock,jaguar,NN,0.92,,6.0845523
stock,life,NN,0.92,,6.170041
stock,market,NN,8.08,,10.029699
stock,phone,NN,1.62,,6.876838
street,avenue,NN,8.88,,9.607388
street,block,NN,6.88,,9.55647
street,place,NN,6.44,,8.070694
stroke,hospital,NN,7.03,,5.8297796
student,professor,NN,6.81,,10.320594
summer,drought,NN,7.16,,9.47377
summer,nature,NN,5.63,,7.124598
telephone,communication,NN,7.5,,9.365888
television,film,NN,7.72,,10.305789
television,radio,NN,6.77,,12.147288
tennis,racket,NN,7.56,,11.641966
territory,kilometer,NN,5.28,,8.298649
territory,surface,NN,5.34,,6.650864
theater,history,NN,3.91,,7.2761393
tiger,animal,NN,7,,9.885114
tiger,carnivore,NN,7.08,,9.6420555
tiger,cat,NN,7.35,,9.807712
tiger,fauna,NN,5.62,,8.415482
tiger,jaguar,NN,8,,11.162812
tiger,mammal,NN,6.85,,8.596489
tiger,tiger,NN,10,,12.001066
tiger,zoo,NN,5.87,,9.340527
train,car,NN,6.31,,10.348372
travel,activity,NN,5,,7.023411
treatment,recovery,NN,7.91,,9.232582
type,kind,NN,8.97,,8.0951
victim,emergency,NN,6.47,,6.1550665
video,archive,NN,6.34,,9.854506
vodka,brandy,NN,8.13,,8.84831
vodka,gin,NN,8.46,,7.9314256
volunteer,motto,NN,2.56,,7.050857
war,troops,NN,8.13,,9.3212595
weapon,secret,NN,6.06,,6.3033695
weather,forecast,NN,8.34,,9.523461
wood,forest,NN,7.73,,9.771186
word,similarity,NN,4.75,,7.5207415
